scaffold	somatic_mean	germline_mean	mean_window	baseline	difference_mean
scaffold_1	0.49686476420115816	0.4991415102857291	312739.376753507	0	-0.0022767460845709575
scaffold_1	0.4958423195914951	0.5052176118236136	1031799.8076152304	0	-0.00937529223211847
scaffold_1	0.4933112630371521	0.4983149316464025	1631283.749498998	0	-0.005003668609250389
scaffold_1	0.49263003918526876	0.4995256537276872	2229107.340681363	0	-0.006895614542418438
scaffold_1	0.49379543827328143	0.5134800530620907	2756520.4649298596	0	-0.01968461478880923
scaffold_1	0.5021853265815601	0.5045038118283374	3276148.8336673346	0	-0.0023184852467772465
scaffold_1	0.48678719301786216	0.4868051544775683	3761970.2224448896	0	-1.796145970611729e-05
scaffold_1	0.4987694987841815	0.49998457079539405	4379494.615230461	0	-0.0012150720112125701
scaffold_1	0.5004962751687623	0.5010564761488524	5130222.108216433	0	-0.0005602009800901309
scaffold_1	0.4921549095271768	0.49959412618393484	5974760.657314629	0	-0.007439216656758063
scaffold_1	0.49491837108076864	0.500280599497406	6528564.97995992	0	-0.00536222841663736
scaffold_1	0.4934738263650863	0.5035806327972031	7009559.589178356	0	-0.01010680643211681
scaffold_1	0.492733364758557	0.4962910464863813	7623602.801603206	0	-0.00355768172782428
scaffold_1	0.4947805216106723	0.5007935312168162	8327097.947895791	0	-0.006013009606143926
scaffold_1	0.49892624944372876	0.4941328102807782	9083014.53507014	0	0.004793439162950552
scaffold_1	0.4951620467063799	0.4945323781261397	9918625.849699399	0	0.0006296685802402169
scaffold_1	0.49911731477000676	0.49738817868220025	10924887.0501002	0	0.0017291360878065043
scaffold_1	0.4970307872239558	0.5030299448881561	11759167.935871743	0	-0.005999157664200339
scaffold_1	0.49544145966108666	0.49969105763756544	12477811.647294588	0	-0.004249597976478781
scaffold_1	0.4991620808265356	0.5005061925682149	13418766.605210422	0	-0.0013441117416793102
scaffold_1	0.50401134194338	0.5073147443826773	14596940.150300601	0	-0.003303402439297276
scaffold_1	0.49314394406323586	0.5056968959827933	15811910.56513026	0	-0.012552951919557465
scaffold_1	0.4934540508158295	0.5066338750232314	18340059.410821643	0	-0.013179824207401936
scaffold_1	0.5070259777925548	0.5207222544503529	23205860.841683365	0	-0.013696276657798157
scaffold_1	0.5080262442081738	0.5130695042681191	24927805.42284569	0	-0.005043260059945376
scaffold_1	0.47736112414403287	0.48842362778510545	26304785.128256515	0	-0.011062503641072585
scaffold_1	0.5004796597619943	0.5034808639742111	27614894.99799599	0	-0.0030012042122168348
scaffold_1	0.5071875937414231	0.5197380429522045	28777008.559118237	0	-0.012550449210781411
scaffold_1	0.4940991931165996	0.5140366235258452	29556586.501002003	0	-0.019937430409245616
scaffold_1	0.5039749675852375	0.5138632676821259	31659566.596736595	0	-0.009888300096888347
scaffold_2	0.4888500262215691	0.4935041542285157	537517.5410821643	0	-0.00465412800694659
scaffold_2	0.49982019982041276	0.5086142118087166	2218026.705410822	0	-0.008794011988303818
scaffold_2	0.4901559173378833	0.4943758356025833	3722021.358717435	0	-0.004219918264700029
scaffold_2	0.5000301950935445	0.502796821128692	8135589.97995992	0	-0.0027666260351474348
scaffold_2	0.5019000452854728	0.49927999645730475	11340117.567134269	0	0.0026200488281680756
scaffold_2	0.4937211711218384	0.4886849462332578	12782178.815631263	0	0.005036224888580576
scaffold_2	0.498730359162685	0.5003480748471444	13728085.679358717	0	-0.0016177156844593976
scaffold_2	0.4870943514713424	0.48059494297981026	14665512.45490982	0	0.006499408491532133
scaffold_2	0.49601689254483705	0.4905769387909753	15342694.018036073	0	0.005439953753861748
scaffold_2	0.4979702705540754	0.4880348610431968	15930213.71743487	0	0.009935409510878568
scaffold_2	0.48794748397330584	0.48555392952633686	16444014.821643287	0	0.002393554446968982
scaffold_2	0.49214441224718897	0.490715778222951	17104210.713426854	0	0.0014286340242379847
scaffold_2	0.48926694854641145	0.49010621714990577	17750990.739478957	0	-0.0008392686034943142
scaffold_2	0.4897601180608373	0.4963580208412936	18465680.629258517	0	-0.0065979027804562995
scaffold_2	0.4856948339739846	0.47943255424001446	19007937.76753507	0	0.006262279733970144
scaffold_2	0.49117618530540064	0.49317793726406495	19262126.896907218	0	-0.0020017519586643107
scaffold_3	0.4899363123192181	0.3986412090805291	198539.0120240481	0	0.091295103238689
scaffold_3	0.4888612876664378	0.39310656081972656	677179.4849699399	0	0.09575472684671127
scaffold_3	0.49914085811700826	0.4028726925053972	1354968.4709418837	0	0.09626816561161106
scaffold_3	0.49370263367221623	0.41520318032857056	2067405.8416833668	0	0.07849945334364566
scaffold_3	0.4864635212453019	0.4004185348768688	2744027.4408817636	0	0.08604498636843311
scaffold_3	0.4908401730630324	0.40401463130792226	3297608.136272545	0	0.08682554175511015
scaffold_3	0.4885879622619121	0.41442410851415484	3777872.5731462925	0	0.07416385374775725
scaffold_3	0.5049132721762619	0.42362188925801453	4358372.4709418835	0	0.08129138291824739
scaffold_3	0.4913017516253871	0.42309403310059396	4959891.563126253	0	0.06820771852479313
scaffold_3	0.4941615675472154	0.4258249618267315	5455991.681362726	0	0.06833660572048389
scaffold_3	0.49746144291969413	0.42123060215791946	6029489.162324649	0	0.07623084076177467
scaffold_3	0.4963151288732953	0.4352867957954792	6562430.509018037	0	0.06102833307781613
scaffold_3	0.4846806105568576	0.431644804871114	7198525.264529058	0	0.05303580568574362
scaffold_3	0.4863758341601597	0.4350302898176007	7730193.9078156315	0	0.051345544342559
scaffold_3	0.4897215212791008	0.44118245060649813	8272605.25250501	0	0.04853907067260266
scaffold_3	0.5007882363579043	0.45491239987482013	8885302.945891783	0	0.04587583648308413
scaffold_3	0.49779983999858113	0.4474994115011967	9664771.751503006	0	0.05030042849738442
scaffold_3	0.48395962064628684	0.44580618327454963	10628432.024048096	0	0.03815343737173721
scaffold_3	0.49379927239237553	0.45744262667919405	12067640.228456914	0	0.03635664571318148
scaffold_3	0.5060734761819827	0.4737358334597465	13870671.865731463	0	0.032337642722236215
scaffold_3	0.5078555689580967	0.49119931380444937	17699113.5250501	0	0.016656255153647326
scaffold_3	0.507693171361016	0.4882225800912699	20322011.08216433	0	0.019470591269746096
scaffold_3	0.48878432950283174	0.47464817455035874	21833958.64529058	0	0.014136154952473001
scaffold_3	0.4964999889191021	0.49169142476598654	23044232.591182366	0	0.004808564153115535
scaffold_3	0.4791036402966359	0.49199152378529293	23976442.146579806	0	-0.012887883488657048
scaffold_4	0.48802535586291207	0.48680216363447926	453087.3567134269	0	0.0012231922284328123
scaffold_4	0.49572573377944684	0.49280957463266534	1868443.0400801604	0	0.002916159146781505
scaffold_4	0.49740535323621654	0.4815269400635154	3715575.4168336676	0	0.015878413172701167
scaffold_4	0.5073413365078158	0.49936058247716647	6691019.0921843685	0	0.007980754030649295
scaffold_4	0.4986383162828534	0.47565692398096776	10979780.54509018	0	0.022981392301885617
scaffold_4	0.4903988595715957	0.4419276390681273	12923995.114228457	0	0.04847122050346836
scaffold_4	0.5138758582993252	0.4512649515571349	14523764.462925851	0	0.06261090674219033
scaffold_4	0.4890405563467371	0.4367799942606604	15410246.470941884	0	0.05226056208607671
scaffold_4	0.4939946741753232	0.4332383328113865	16118273.839679359	0	0.060756341363936706
scaffold_4	0.49398870320930727	0.43618301054925235	16756091.639278557	0	0.05780569266005492
scaffold_4	0.4894351327730106	0.43078098674121157	17467893.53507014	0	0.058654146031799026
scaffold_4	0.49271254004185355	0.43758827126824934	18485980.44689379	0	0.05512426877360421
scaffold_4	0.49811631670183665	0.4436984659903869	19470787.623246495	0	0.05441785071144972
scaffold_4	0.48912421670377754	0.43981504404693866	20270483.248496994	0	0.04930917265683887
scaffold_4	0.5079769562274821	0.450581720772883	20890436.264529057	0	0.05739523545459907
scaffold_4	0.4971387800462811	0.4554938206762049	21552773.749498997	0	0.04164495937007617
scaffold_4	0.4884251748315636	0.44535311457882887	22225337.579158317	0	0.043072060252734745
scaffold_4	0.5001680909498168	0.44878459883988714	22824511.250501003	0	0.05138349210992971
scaffold_4	0.4991356545262252	0.4489264821715209	23229291.023166023	0	0.05020917235470429
scaffold_5	0.500379288200387	0.6036618796589133	582610.3607214428	0	-0.10328259145852625
scaffold_5	0.4856298465542054	0.6334141055061381	2221652.1963927858	0	-0.1477842589519327
scaffold_5	0.5060901614850177	0.6719895934133872	3407585.8176352708	0	-0.16589943192836942
scaffold_5	0.5085480160083018	0.6816538403689142	5464585.541082164	0	-0.1731058243606124
scaffold_5	0.5040333813017354	0.6664934955309678	10546450.705410821	0	-0.16246011422923246
scaffold_5	0.5041099881810447	0.670977454926027	12609965.79759519	0	-0.16686746674498232
scaffold_5	0.490171245154999	0.6610826258178634	13710353.480961924	0	-0.17091138066286438
scaffold_5	0.490812163107838	0.6483291386114518	14765983.627254508	0	-0.15751697550361382
scaffold_5	0.4918360132714224	0.6335110138111646	15657296.038076153	0	-0.1416750005397422
scaffold_5	0.49077641923728954	0.6287426251847962	16360190.01002004	0	-0.13796620594750664
scaffold_5	0.5099441032362664	0.6436378927540057	17020478.148296595	0	-0.13369378951773936
scaffold_5	0.4948036991642934	0.6218104869830497	17662599.82965932	0	-0.12700678781875635
scaffold_5	0.5030629134751642	0.6202237537763174	18337003.83767535	0	-0.11716084030115326
scaffold_5	0.4937027216847371	0.6103095037098788	19021209.326653305	0	-0.11660678202514169
scaffold_5	0.5000674287316683	0.60420499556266	19781313.641282566	0	-0.10413756683099173
scaffold_5	0.49866165431577214	0.5928141647531069	20608367.316633265	0	-0.09415251043733475
scaffold_5	0.48986555965351486	0.5799778691932339	21121772.599378884	0	-0.09011230953971905
scaffold_6	0.4887006205145482	0.5025889870987315	203456.07815631264	0	-0.013888366584183243
scaffold_6	0.49397264223094617	0.49887175066632616	762631.3186372746	0	-0.004899108435379995
scaffold_6	0.48926413888820425	0.5018081410018727	1348493.0841683366	0	-0.012544002113668407
